,,
,,
,,
,,
,,
,,
,,
,,
,,____
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,Top Grossing Actors,
,Tom Cruise,"$1,391,100,000.00"
,Hugh Jackman,"$842,700,000.00"
,Vin Diesel,"$739,400,000.00"
,Ryan Reynolds,"$672,900,000.00"
,Ben Affleck,"$622,700,000.00"
,Jennifer Lawrence,"$616,400,000.00"
,Channing Tatum,"$547,500,000.00"
,Chris Evans,"$544,400,000.00"
,Andrew Garfield,"$527,900,000.00"
,Brad Pitt,"$493,800,000.00"
,,
,,
,,
,Largest Budget Films,
,The Hobbit: The Battle of the Five Armies,"$250,000,000"
,Batman v Superman: Dawn of Justice,"$250,000,000"
,Dawn of the Planet of the Apes,"$235,000,000"
,The Amazing Spider-Man,"$230,000,000"
,Man of Steel,"$225,000,000"
